athlete,time_sec,first_200,second_200,third_200,fourth_200,first_400,second_400
Parker Dewey,115.36,27.37,29.1,29.84,29.05,56.47,58.89
Brandon Latta,115.64,27.79,28.81,30.17,28.87,56.6,59.04
Isaac Greene,116.12,26.7,28.04,30.32,31.06,54.74,61.38
Soheib Dissa,116.58,27.19,27.2,29.82,32.37,54.39,62.19
Willem Mandel,116.74,26.25,28.32,30.43,31.74,54.57,62.17
Evan Smith,116.81,26.49,28.34,30.89,31.09,54.83,61.98
Simon Donovan,116.84,28.24,28.61,29.6,30.39,56.85,59.99
Gabriel Cuffey,116.92,26.76,28.09,30.05,32.02,54.85,62.07
Gabriel Sisk,116.93,27.53,28.86,30.85,29.69,56.39,60.54
Ethan Cope,117.37,27.91,28.84,30.52,30.1,56.75,60.62
Gavin Rossi,117.39,27.54,28.38,30.14,31.33,55.92,61.47
Ryan Hesler,117.59,27.36,28.87,30.14,31.22,56.23,61.36
Tyson Crandall,117.94,27.64,28.76,30.46,31.08,56.4,61.54
Gabriel Zwilling,117.94,,,30.06,30.28,57.6,60.34
Charlie Butler,118.16,27.96,28.81,30.1,31.29,56.77,61.39
Simeon Hayward,118.21,27.49,28.74,30.21,31.77,56.23,61.98
Antonio Ciccarelli,118.33,27.81,28.56,30.26,31.7,56.37,61.96
Andre Pearson,118.72,26.13,28.21,30.82,33.56,54.34,64.38
Matthew Carnes,119,27.84,29.98,30.82,30.36,57.82,61.18
Logan Mullan,119.01,27.78,28.35,30.95,31.93,56.13,62.88
Marco Bussone,119.19,28.03,29.36,30.4,31.4,57.39,61.8
Tyler Bartlett,119.37,28.11,29.64,30.07,31.55,57.75,61.62
Walt Petersen,119.38,28.57,29.7,30.51,30.6,58.27,61.11
Brendan Fant,119.43,27.5,28.41,30.57,32.95,55.91,63.52
Daniel Serpa,119.49,28.14,30.08,30.05,31.22,58.22,61.27
Ben Tucker,119.53,27.87,29.65,30.8,31.21,57.52,62.01
Caleb Doddington,119.54,28.15,28.96,30.96,31.47,57.11,62.43
Jack Stahl,119.55,28.49,29.88,30.81,30.37,58.37,61.18
Dennis Satchek,119.84,28.13,29.48,31.07,31.16,57.61,62.23
Max Langenbach,120,28.24,30.07,30.46,31.23,58.31,61.69
Blake Santos,120.03,27.87,29.12,30.73,32.31,56.99,63.04
Cole Thalheimer,120.24,28.87,29.7,31.12,30.55,58.57,61.67
Griffin Mandirola,120.38,28.66,29.47,31.15,31.1,58.13,62.25
Logan Tracia,120.4,28.66,29.41,30.51,31.82,58.07,62.33
Anderson Krasner,120.49,28.43,30.04,30.74,31.28,58.47,62.02
Connor Reidy,120.96,27.52,29.4,31.64,32.4,56.92,64.04
Christophe Fremont,120.97,28.41,29.85,30.54,32.17,58.26,62.71
