athlete,first_400,second_400,total_time_sec,split_ratio
Parker Dewey,56.47,58.89,115.36,1.0428546130688863
Brandon Latta,56.6,59.04,115.64,1.0431095406360424
Isaac Greene,54.74,61.38,116.12,1.1213006941907198
Soheib Dissa,54.39,62.19,116.58,1.1434087148372862
Willem Mandel,54.57,62.17,116.74,1.1392706615356423
Evan Smith,54.83,61.98,116.81,1.1304030640160496
Simon Donovan,56.85,59.99,116.84,1.0552330694810905
Gabriel Cuffey,54.85,62.07,116.92,1.1316317228805834
Gabriel Sisk,56.39,60.54,116.93,1.0735946089732222
Ethan Cope,56.75,60.62,117.37,1.068193832599119
Gavin Rossi,55.92,61.47,117.39,1.0992489270386265
Ryan Hesler,56.23,61.36,117.59,1.091232438200249
Tyson Crandall,56.4,61.54,117.94,1.0911347517730496
Gabriel Zwilling,57.6,60.34,117.94,1.0475694444444446
Charlie Butler,56.77,61.39,118.16,1.0813810110974105
Simeon Hayward,56.23,61.98,118.21,1.102258580828739
Antonio Ciccarelli,56.37,61.96,118.33,1.099166223168352
Andre Pearson,54.34,64.38,118.72,1.1847626058152372
Matthew Carnes,57.82,61.18,119,1.0581113801452784
Logan Mullan,56.13,62.88,119.01,1.1202565473009085
Marco Bussone,57.39,61.8,119.19,1.076842655514898
Tyler Bartlett,57.75,61.62,119.37,1.067012987012987
Walt Petersen,58.27,61.11,119.38,1.0487386305131285
Brendan Fant,55.91,63.52,119.43,1.1361116079413345
Daniel Serpa,58.22,61.27,119.49,1.0523874957059431
Ben Tucker,57.52,62.01,119.53,1.078059805285118
Caleb Doddington,57.11,62.43,119.54,1.093153563298897
Jack Stahl,58.37,61.18,119.55,1.048141168408429
Dennis Satchek,57.61,62.23,119.84,1.080194410692588
Max Langenbach,58.31,61.69,120,1.0579660435602811
Blake Santos,56.99,63.04,120.03,1.1061589752588172
Cole Thalheimer,58.57,61.67,120.24,1.0529281201980536
Griffin Mandirola,58.13,62.25,120.38,1.0708756236022707
Logan Tracia,58.07,62.33,120.4,1.0733597382469433
Anderson Krasner,58.47,62.02,120.49,1.060714896528134
Connor Reidy,56.92,64.04,120.96,1.1250878425860857
Christophe Fremont,58.26,62.71,120.97,1.0763817370408515
Daniel da Silva,59.35,61.69,121.04,1.0394271272114575
Sebastian Guerrero,58.92,62.69,121.61,1.0639850644942295
Nicholas Montana,57.94,63.89,121.83,1.1026924404556437
Isaac Perez,56.68,65.19,121.87,1.1501411432604092
Samuel Secor,59.4,62.48,121.88,1.0518518518518518
Kinnon Ringler,57.31,64.98,122.29,1.1338335369045542
Nathan Mikulsky,57.49,65.4,122.89,1.1375891459384242
Christopher Miller-Harris,58.89,64.28,123.17,1.0915265749702836
David Pinero-Jacome,57.15,66.44,123.59,1.162554680664917
Garrett Dailey,59.33,64.52,123.85,1.0874768245407045
Malachi Patterson,58.1,66.32,124.42,1.1414802065404475
Ryan Thompson,58.53,66.1,124.63,1.129335383563984
Esaias Gonzalez,58.04,67.23,125.27,1.1583390764989663
Ethan Downs,59.77,67.17,126.94,1.123807930399866
Jack Chapman,60.1,68.33,128.43,1.1369384359400998
Faith Murphy,67.83,66.9,134.73,0.9862892525431226
Madison Rassas,66.97,68.53,135.5,1.0232940122442886
Alexandra Jackson,68.12,68.47,136.59,1.0051379917792131
Elizabeth Szybalski,65.83,70.81,136.64,1.0756493999696188
Cailey Freeze,67.74,68.97,136.71,1.0181576616474757
Jimmiea King,68.16,68.55,136.71,1.0057218309859155
Charlotte Dunkel,66.41,70.53,136.94,1.062038849570848
Riley Herdson,67.31,69.72,137.03,1.035804486703313
Jocelyn Millican,63.87,73.22,137.09,1.1463911069359638
Tenley Nelson,67.33,69.92,137.25,1.0384672508540027
Olivia Holbrook,65.88,71.38,137.26,1.0834851244687311
Scarlet Stimson,67.12,70.36,137.48,1.0482717520858165
Morgan Kirkland,66.29,71.81,138.1,1.0832704782018403
Anna Hardiman,68.61,69.74,138.35,1.0164699023465966
Charlotte Tuxbury,66.72,71.82,138.54,1.0764388489208632
Kylee King,65.95,72.94,138.89,1.1059893858984078
Grace Finnegan,66.68,72.23,138.91,1.0832333533293341
Riley Humphries,66.39,72.73,139.12,1.0954963096851935
Audrey Adam,67.8,71.36,139.16,1.0525073746312685
Miah Johnson,67.84,71.67,139.51,1.0564563679245282
Taylor Pangburn,68.76,70.99,139.75,1.0324316463059917
Lila Pesavento,68.86,71.46,140.32,1.0377577693871622
Keira Hodum,66.62,74.38,141,1.116481537075953
Lila Garbett,68.23,72.85,141.08,1.0677121500806095
Caitlyn Chang,69.28,71.94,141.22,1.0383949191685913
Mary Gorsky,67.85,73.56,141.41,1.0841562269712604
Isabella Gentille,69.36,72.18,141.54,1.0406574394463668
Chloe Johnson,68.62,73.11,141.73,1.0654328184202855
Anya Budzinski,68.36,73.56,141.92,1.0760678759508484
Eugenie Horisberger,69.69,72.49,142.18,1.040177930836562
Leigh Foran,68.62,73.89,142.51,1.0767997668318274
Bria Benigni,67.02,75.49,142.51,1.1263801850193973
Alexandra Moore,68.29,74.3,142.59,1.0880070288475616
Tyndal Ann Griffith,67.73,74.92,142.65,1.1061567990550716
Leah Thomas,67.44,75.21,142.65,1.1152135231316724
Sydney Weiss,67.36,75.7,143.06,1.123812351543943
Leilani Gibson,68.21,74.88,143.09,1.0977862483506817
Kayla Hawkins,68.14,75.03,143.17,1.101115350748459
Shea Podbelski,69.06,74.13,143.19,1.073414422241529
Kayla Devine,69.43,73.96,143.39,1.0652455710787843
Izabella Toscano,67.93,75.49,143.42,1.111291034888856
Victoria Urbaez,68.52,75.01,143.53,1.0947168709865733
Janae Coleman,69.04,74.57,143.61,1.0800984936268827
Brenna Sears,68.6,75.04,143.64,1.0938775510204084
Maci Beaty,69.08,74.8,143.88,1.0828025477707006
Emma Ronan,69.11,74.83,143.94,1.082766603964694
Abby Wells,66.3,77.63,143.93,1.1708898944193062
Delaney Dyer,69.32,74.95,144.27,1.0812175418349683
Ava Tominack,68.05,76.41,144.46,1.122850844966936
Amelia Jackson,69.12,75.91,145.03,1.0982349537037035
Finleigh Simonds,69.59,75.47,145.06,1.0844948986923408
Katrina Torelli,69.36,75.95,145.31,1.095011534025375
Dana Lehr,69.38,76.88,146.26,1.1081003170942634
Chloe Dibb,69.73,76.66,146.39,1.0993833357235048
Anna Lonergan,69.08,77.71,146.79,1.12492762015055
Grace Tate,69.12,79.78,148.9,1.154224537037037
Allyson Wernik,70.54,83.07,153.61,1.1776297136376521
Tinoda Matsatsa,52.88,55.4,108.28,1.0476550680786687
Charles Leath IV,53.96,54.52,108.48,1.0103780578206079
Daniel Watcke,54.04,55.56,109.6,1.0281273131014064
Andrew Regnier,53.64,56.07,109.71,1.0453020134228188
Simeon Birnbaum,54.19,56.84,111.03,1.0489020114412255
Miguel Pantojas De Jesus,53.77,57.33,111.1,1.0662079226334387
Carter Cutting,53.96,57.57,111.53,1.0669014084507042
Marcus Reilly,54.1,57.54,111.64,1.0635859519408501
Andrew Burrell,55.6,57.69,113.29,1.0375899280575538
Oliver Brandes,52.98,60.5,113.48,1.1419403548508873
Aidan Hodge,55.57,58.08,113.65,1.0451682562533742
Aaron Sahlman,53.87,59.77,113.64,1.109522925561537
Nicholas Hayden,53.39,60.37,113.76,1.1307360929012924
Timothy Roden II,54.87,58.9,113.77,1.073446327683616
Andrew Casey,56.49,57.34,113.83,1.0150469109576916
Dylan DeCambre,55.62,58.21,113.83,1.0465659834591874
Nicholas DeVita,54.3,59.64,113.94,1.0983425414364643
Dawson Welch,56.18,57.8,113.98,1.0288358846564614
Ryan Beegle,56.01,57.98,113.99,1.0351722906623817
Kaden Kingsmith,55.02,59.02,114.04,1.0727008360596146
Shamiso Sikaneta,55.48,58.72,114.2,1.0583994232155731
Charles Perry,54.63,59.76,114.39,1.0939044481054365
Drew Graves,55.4,59.03,114.43,1.0655234657039712
Eli Sterling,55.73,58.78,114.51,1.0547281535977033
John O'Reilly,56.1,58.45,114.55,1.0418894830659537
Andrew Balogh,54.04,60.59,114.63,1.1212065136935605
Andrew Thornton-Sherman,56.63,58.07,114.7,1.0254282182588734
Keion Grieve,55.76,59.05,114.81,1.0590028694404592
Jaxson Eckert,55.37,59.5,114.87,1.074589127686473
Jackson Harris,56.67,58.2,114.87,1.026998411858126
Dylan Brenn,55.15,59.9,115.05,1.086128739800544
Drew Costelow,56.41,58.72,115.13,1.0409501861372097
Thomas Hess,55.38,59.77,115.15,1.0792704947634526
Trent McFarland,56.73,58.59,115.32,1.0327868852459017
Ben Murray,56.27,59.12,115.39,1.0506486582548427
Colin Kirn,55.09,60.35,115.44,1.09548012343438
Luke Schagelin,55.5,59.96,115.46,1.0803603603603604
Travis Wolfe-Thompson,55.77,59.88,115.65,1.0736955352339967
Colin Abrams,56.04,59.72,115.76,1.065667380442541
Cooper Citro,55.21,60.63,115.84,1.0981706212642637
Noah Musselwhite,56.49,59.54,116.03,1.0539918569658346
Kelton Poirier,56.18,59.89,116.07,1.0660377358490567
Anthony Engle,55.83,60.47,116.3,1.0831094393695146
Caleb Hymans,56.14,60.18,116.32,1.071962949768436
Michael Polizzi,57.07,59.39,116.46,1.0406518310846329
Owen Westerkamp,57.45,59.14,116.59,1.0294168842471714
Blaik Slavinski,55.66,61.03,116.69,1.0964786201940353
Jake Eagling,55.42,61.41,116.83,1.1080837242872608
Jacob Redman,56.86,60.08,116.94,1.0566303200844178
Jaden Enis,55.97,61.05,117.02,1.09076290870109
Alexson Songor,55.86,61.19,117.05,1.0954171142141067
Camyn Viger,56.46,60.76,117.22,1.0761601133545873
Daniel De Monte III,56.18,61.23,117.41,1.0898896404414382
Nathan Blades,56.54,61.03,117.57,1.079412805093739
Sean Clegg,56.12,61.53,117.65,1.0964005702067
Tyler Heath,57.29,60.41,117.7,1.0544597661022865
LJ Nelson,56.7,61.06,117.76,1.0768959435626102
Kepler Huntress,55.9,62.26,118.16,1.1137745974955278
Kaleb Smith,55.98,62.34,118.32,1.1136120042872455
Matthew Rooney,57.37,61.15,118.52,1.0658880948230782
Camden Reiland,56.96,61.69,118.65,1.0830407303370786
Noah Fisher,57.09,61.57,118.66,1.0784725871431073
Michael Woolery,55.73,63.18,118.91,1.1336802440337341
Noah Nielson,58.38,60.54,118.92,1.0369989722507706
Jake Haley,56.7,62.62,119.32,1.1044091710758377
Stone Smith,57.27,62.19,119.46,1.0859088528025143
Zach Makemson,57.6,61.89,119.49,1.0744791666666667
Jacob Puhalla,57.24,62.27,119.51,1.087875611460517
Collin Stafford,57.36,62.21,119.57,1.0845536959553697
Quinn Green,59.39,60.31,119.7,1.0154908233709379
Daniel Coyne,56.8,62.94,119.74,1.1080985915492958
Ellis Goodson,57.44,62.45,119.89,1.0872214484679668
Tristan Burke,57.88,62.01,119.89,1.0713545266067726
Brian Theobald,57.72,62.32,120.04,1.0796950796950797
Omer Ibrahim,56.77,64.05,120.82,1.128236744759556
Sean Sanders,58.02,63.46,121.48,1.0937607721475353
Sam Castle,56.91,64.73,121.64,1.1374099455280269
Gavin Borger,57.81,63.84,121.65,1.1043072132848988
Jamie Lano,57.52,64.96,122.48,1.1293463143254518
James Cognata,55,68.36,123.36,1.242909090909091
Austin Desisto,58.83,69.53,128.36,1.181879993200748
Allison Ince,61.28,63.5,124.78,1.0362271540469974
Isabel Conde Frankenberg,62.09,64.39,126.48,1.037043002093735
Amelia Everett,62.66,65.86,128.52,1.05106926268752
Nicki Southerland,63.7,65.17,128.87,1.023076923076923
Isis Grant,62.16,67.11,129.27,1.0796332046332047
Layla Haynes,60.59,68.73,129.32,1.1343456015844198
KaMyya Haywood,60.99,68.96,129.95,1.130677160190195
Angelina Napoleon,63.91,66.43,130.34,1.0394304490690034
Gretchen Farley,63.41,67.4,130.81,1.0629238290490461
Kaleigh Gunsiorowski,62.63,68.58,131.21,1.0950023950183618
Jaylee Wingate,63.24,68.47,131.71,1.0827008222643897
