lap_1,lap_2,runner,year
68,75,joeb,2009
75,86,adud,2009
67,71,jabr,2009
62,64,gkin,2009
66,75,joeb,2009
68,73,jabr,2009
74,81,mvon,2009
79,89,mbra,2009
59,65,gkin,2009
65,73,jabr,2009
60,66,gkin,2009
65,69,mrep,2010
69,71,joeb,2010
68,74,jabr,2010
62,79,anbl,2010
67,74,jabr,2010
64,75,mrep,2010
69,80,keit,2010
65,78,ejre,2010
65,77,keit,2010
67,70,jabr,2010
62,71,mrep,2010
64,68,jabr,2010
63,71,anbl,2010
66,74,mvon,2010
64,66,joeb,2010
65,71,jabr,2010
64,67,nbal,2010
62,70,jabr,2010
62,72,mrep,2010
65,70,joeb,2010
63,70,jabr,2010
62,67,nbal,2010
64,67,anbl,2010
61,71,mrep,2010
62,71,joeb,2010
65,69,jabr,2010
60,72,nbal,2010
61,72,anbl,2010
60,72,mrep,2010
61,74,joeb,2010
61,68,jabr,2010
62,66,nbal,2010
62,68,jabr,2010
62,70,anbl,2010
62,73,joeb,2010
58,65,mrep,2010
61,74,ebre,2011
67,81,tpre,2011
64,74,joeb,2011
63,72,mrep,2011
65,74,keit,2011
69,75,mgre,2011
70,76,tsch,2011
67,76,srus,2011
63,74,bbak,2011
72,86,cgre,2011
82,81,jvan,2011
76,85,bevs,2011
71,84,stew,2011
61,71,ebre,2011
66,78,egoo,2011
61,78,joeb,2011
65,74,mrep,2011
63,75,keit,2011
68,78,tpre,2011
67,76,mvon,2011
61,74,anbl,2011
67,82,mrep,2011
69,78,tyke,2011
67,82,egoo,2011
68,81,tpre,2011
63,68,ebre,2011
62,67,nbal,2011
62,70,mrep,2011
58,67,mhut,2011
63,68,ebre,2011
61,71,anbl,2011
62,71,mrep,2011
61,70,ebre,2011
64,75,joeb,2011
60,70,mrep,2011
62,72,mrep,2011
65,73,ebre,2011
62,72,joeb,2011
65,76,kelt,2011
65,73,ebre,2011
69,75,kelt,2011
65,89,tpre,2011
71,71,skyh,2011
69,81,tyke,2011
69,82,tpre,2011
76,77,part,2011
78,95,tdew,2011
78,88,rjoh,2011
73,92,skyh,2011
68,76,srus,2011
73,75,tyke,2011
70,71,bbak,2011
72,71,kelt,2011
73,70,mgre,2011
73,75,tsch,2011
70,73,srus,2011
